name,id,top_kpop,genre,followers
PENTAGON,1wKpMkucynaTfG8lyPprYV,1,"['k-pop', 'k-pop boy group']",2123414
 MARIO,1wLXYnlqlJNSFfNlsqEsbC,0,[],49
EXID,1xs6WFotNQSXweo0GXrS0O,1,"['k-pop', 'k-pop girl group']",1506840
Red Velvet,1z4g3DjTBBZKhvAroFlhOM,1,"['k-pop', 'k-pop girl group']",8364750
 T.O.P,1zL2FNzZEsXy5tzEhaQCFP,0,[],1434
 Keanu Silva,1zLMhO4zzzxt5PMV4wMS3y,0,['future house'],39163
 Anne-Marie,1zNqDE7qDGCsyzJwohVaoX,0,"['hel', 'pop']",10830687
 OH MY GIRL,2019zR22qK2RBvCqtudBaI,1,"['k-pop', 'k-pop girl group']",1681264
 nævis,2067CjQ2nC56cRZX8goeHg,0,[],14794
 Sam Feldt,20gsENnposVs2I4rQ5kvrf,0,"['edm', 'pop dance', 'tropical house']",751868
SEUNGRI,20j1uz7iDOtIvIzCr5S8nx,1,['k-pop'],478054
 PENIEL,21EUYgHJLDUeG72eDEmTx4,0,[],33031
Raina,21dQ70DS91icGLN9J4mH7h,0,[],4380
 Jo Jung Chi,21fdDnBuLfUeBngh4yAyZJ,0,[],385
 BRYAN CHA$E,21pdFXVgEujpnjqKDCy6BL,0,[],363
JooHyun Oak,22GsBXoNH88NIr7Rl8k7oz,0,['korean musicals'],308
 sokodomo,23LskvW8ErKu8v1teU7xFZ,0,['k-rap'],50213
香取慎吾,23aPUZaR8bESXN4UD3T2Sx,0,[],20927
 Joyce Wrice,24Cf1irKt7kcewb9OOkPum,0,['alternative r&b'],166819
 Tara,24JAAnBviO3vTMZ5N9taj8,0,['cook islands pop'],2649
Monday Kiz,24jJXZRz3aGvjVvZ4OoerD,0,['korean pop'],112961
 Verbal Jint,24sQuJhQ85ZygDG7sUVUxR,0,"['k-rap', 'korean old school hip hop']",71542
 JENNIE,250b0Wlc5Vk0CoUsaCY84M,0,['k-pop'],3376368
 Charli XCX,25uiPmTg16RbhZWAqwLBy5,0,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",2848872
 lIlBOI,25wMXkplvEHJpJHX8A6Ved,0,['k-rap'],67074
KINDA BLUE,264XvBSD6pFn1eDvWSWMI8,0,[],4854
