,name,id,top_kpop,genre,followers,name_lower
471, KHAN,13jYpBHek9LD68d1ZwWmu5,0,[],5854,khan
472, XINSAYNE,4yY3FsmWRwMIFXRDkMpnBS,0,[],1391,xinsayne
473, Roh Yun Ha,4F0KZ0SXe4z5xrgX6TXAPy,0,['k-rap'],12009,roh yun ha
474, sokodomo,23LskvW8ErKu8v1teU7xFZ,0,['k-rap'],50213,sokodomo
475, 코알라 KOALA,57FiLkWeGzNVMLggMZLYiZ,0,[],663,코알라 koala
476, JAMBINO,1lcuNfp7bo4LCAHWrjAR9K,0,[],4824,jambino
477, Lee Young Ji,0Y2AcMPMpeuPXtPQGVvRBq,0,['korean trap'],154588,lee young ji
478, Chillin Homie,5f48MQLr5eOXHcR4lFE1BM,0,"['k-rap', 'korean trap']",13953,chillin homie
479, NSW yoon,6xlIFpRmRNDoVuFUqzuMFE,0,[],9059,nsw yoon
484, toigo,5tTstLTFQFGb2dBb6h9zeG,0,[],2520,toigo
485, J'Kyun,0WIKW2eVuPbK5vQ0AIDtMQ,0,"['k-rap', 'korean underground rap']",9566,j'kyun
487,Maliibu Miitch,5J1JcdYCPj44YKz6kVA5wx,0,['trap queen'],140718,maliibu miitch
490, pH-1,2u7CP5T30c8ctenzXgEV1W,0,"['k-rap', 'korean r&b']",372581,ph-1
491, 李大奔,5sF2WUeEL2qiV03Vym3727,0,['chinese hip hop'],8126,李大奔
496, Spray,08yoNApAYvtzOK5P3qZKw8,0,['korean underground rap'],3475,spray
497, lIlBOI,25wMXkplvEHJpJHX8A6Ved,0,['k-rap'],67074,lilboi
501, Wiz Khalifa,137W8MRPWKqSmrBGDBFSop,0,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",11032776,wiz khalifa
504, GroovyRoom,29HqjVbJr3vsc2l6BTI4eB,0,"['k-rap', 'korean r&b']",132104,groovyroom
506,YULTRON,3n2H1XlCyS1WQ0vyVUFEma,0,['speed house'],34860,yultron
509,GEMINI,67IWlRdLy3UcfY3q968euj,0,['korean r&b'],156622,gemini
513, Paul Blanco,2fiGm496AG7ePURQiSSJIw,0,[],48038,paul blanco
515,ShiGGa Shay,3vYlOrtxEjNzvUPhacOdoV,0,"['singaporean hip hop', 'singaporean pop']",5693,shigga shay
518,DJ Wegun,7p552gLGzaDKXB5sETgTEP,0,['k-rap'],13768,dj wegun
536,Jay Loud,2zlYZjumfIxajIKfk41H9A,0,['indiana hip hop'],10422,jay loud
539, Kirin,3dFiM806dnbA7YUIgOHDBc,0,['korean city pop'],7151,kirin
541,$tupid Young,0h0C8mMT21p0Ixq6qO1UMH,0,"['asian american hip hop', 'cali rap']",121523,$tupid young
542, B.A.R.S,1ahnpDxkjOKgm9VydpzCKr,0,[],262,b.a.r.s
545,Mozart La Para,0odliLZMTk45CEVzF3Zocl,0,"['dembow', 'rap dominicano']",406458,mozart la para
548, Hit-Boy,6q3p11nP1p80Ey6LrOOSed,0,['drumless hip hop'],68444,hit-boy
560,Simon Dominic,57W9ikVc6O2wLDtmclSjvN,0,"['k-pop', 'k-rap', 'korean r&b']",442764,simon dominic
561, RYNO,5rIOZ6g7qSlq60wITUUle2,0,[],265,ryno
562, sogumm,50x9jHrP6wy9fo3jK5pNqS,0,['k-indie'],51852,sogumm
563, YELLA D,4D139q2zdOGkNdWHeFmIog,0,"['k-rap', 'korean r&b']",5500,yella d
565,Part Time Cooks,51e7K2KFkHECVO460ruq8L,0,[],1771,part time cooks
566, MBA,0c6EF9zv5mQX7pkyrPawKS,0,"['k-rap', 'korean trap']",6799,mba
567, MELOH,5Qb6QmI6WUeGFaJeGB5fdg,0,[],50673,meloh
569,Choi Seo Hyun,45MYCJEVTetzK6k2UeuHv0,0,[],775,choi seo hyun
570, Maddox,7KieZTca53gfdVzwdODV2L,0,['korean r&b'],54590,maddox
571, Seungrae,7g5FyggODL4LruwJvqx4yh,0,[],526,seungrae
581, Sik-K,5DIi2JWfQPTKffaVBlIYRn,1,"['k-rap', 'korean r&b']",431030,sik-k
